#   Latitude   Longitude           x           y  Code Location 
    46.01217  -121.90125     0.00000     0.00000       ASW6_24_1 
    46.05025  -121.91429     0.00000     0.00000       ASW6_24_2 
    46.06452  -121.98259     0.00000     0.00000       ASW6_24_3 
    46.08046  -121.99662     0.00000     0.00000       ASW6_24_4 
    46.12476  -122.00147     0.00000     0.00000       ASW6_24_5 
    46.13710  -122.00099     0.00000     0.00000       ASW6_24_8 
    46.17507  -122.00084     0.00000     0.00000       ASW6_24_6 
    46.18737  -121.99575     0.00000     0.00000       ASW6_24_10
    46.21331  -121.99291     0.00000     0.00000       ASW6_24_11
    46.22868  -121.99527     0.00000     0.00000       ASW6_24_12
    46.23418  -121.98555     0.00000     0.00000       ASW6_24_12
    46.24016  -121.97872     0.00000     0.00000       ASW6_24_13
    46.26036  -121.97861     0.00000     0.00000       ASW6_24_14
    46.26397  -121.96245     0.00000     0.00000       ASW6_25_5 
    46.28291  -121.96380     0.00000     0.00000       ASW6_25_4 
    46.29043  -121.97632     0.00000     0.00000       ASW6_25_3 
    46.29600  -121.97529     0.00000     0.00000       ASW6_25_2 
    46.30693  -121.97153     0.00000     0.00000       ASW6_25_1 
    46.31336  -121.97405     0.00000     0.00000       ASW6_25_6 
    46.32468  -121.97278     0.00000     0.00000       ASW6_25_7A
    46.34439  -121.96848     0.00000     0.00000       ASW6_25_7B
    46.34886  -121.96665     0.00000     0.00000       ASW6_25_8A
    46.36134  -121.97212     0.00000     0.00000       ASW6_25_8B
    46.37819  -121.98502     0.00000     0.00000       ASW6_25_9A
    46.39203  -121.98860     0.00000     0.00000       ASW6_25_9B
    46.44990  -121.84244     0.00000     0.00000       RBW       
    46.44715  -121.79779     0.00000     0.00000       RBW       
    46.40293  -121.73716     0.00000     0.00000       RBW       
    46.41531  -121.74718     0.00000     0.00000       RBW       
    46.40590  -121.73894     0.00000     0.00000       RBW       
    46.39740  -121.73147     0.00000     0.00000       RBW       
    46.38771  -121.73144     0.00000     0.00000       RBW       
    46.37958  -121.73189     0.00000     0.00000       RBW       
    46.37201  -121.72559     0.00000     0.00000       RBW       
    46.34122  -121.70989     0.00000     0.00000       RBW       
    46.31806  -121.73181     0.00000     0.00000       RBW       
    46.28898  -121.66641     0.00000     0.00000       RBW       
    46.27495  -121.60225     0.00000     0.00000       RBW       
    46.55554  -121.63474     0.00000     0.00000       RBW       
    46.54116  -121.62105     0.00000     0.00000       RBW       
    46.51057  -121.59467     0.00000     0.00000       RBW       
    46.49525  -121.57938     0.00000     0.00000       RBW       
    46.47295  -121.56210     0.00000     0.00000       RBW       
    46.45582  -121.55235     0.00000     0.00000       RBW       
    46.44448  -121.54538     0.00000     0.00000       RBW       
    46.41677  -121.55206     0.00000     0.00000       RBW       
    46.37903  -121.56825     0.00000     0.00000       RBW       
    47.16462  -120.70489     0.00000     0.00000       DZ20_32   
    47.09762  -120.65891     0.00000     0.00000       DZ20_29   
    47.00609  -120.59059     0.00000     0.00000       DZ20_25   
    46.97064  -120.51070     0.00000     0.00000       DZ20_UNKNO
    46.84383  -120.37671     0.00000     0.00000       DZ20_21   
    46.81821  -120.35598     0.00000     0.00000       DZ20_20   
    46.72383  -120.40341     0.00000     0.00000       DZ20_16   
    46.69836  -120.44157     0.00000     0.00000       DZ20_15   
    46.62643  -120.51099     0.00000     0.00000       DZ20_14   
    46.56315  -120.47113     0.00000     0.00000       DZ20_10   
    46.51696  -120.48090     0.00000     0.00000       DZ20_6    
    46.45340  -120.43120     0.00000     0.00000       DZ20_5    
    46.40470  -120.37867     0.00000     0.00000       DZ20_4    
    46.37046  -120.32020     0.00000     0.00000       DZ20_3    
    46.30719  -120.33379     0.00000     0.00000       DZ20_2_DZ2
    46.07314  -120.56090     0.00000     0.00000       DZ20_UNKNO
    47.27834  -120.06563     0.00000     0.00000       WH1       
    47.23753  -120.05211     0.00000     0.00000       WH2       
    47.23333  -119.85327     0.00000     0.00000       WH3       
    47.17595  -119.85374     0.00000     0.00000       WH4       
