DATA:  Sample locations Game and Bill
Latitude        Longitude     L2norm weight mpua kg/m2       Sample number
6.12652780e+01 -1.52184167e+02 1.0  2.57422000e+02  1   0.00000000e+00 3.68000000e+00 1.27700000e+01 2.65200000e+01 2.55000000e+01 1.96900000e+01 8.24000000e+00 3.59000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.12558330e+01 -1.52143889e+02 1.0  2.14300000e+02  3   0.00000000e+00 0.00000000e+00 7.31000000e+00 2.85400000e+01 2.73400000e+01 1.92300000e+01 1.16200000e+01 4.31000000e+00 1.00000000e+00 6.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.12472220e+01 -1.52117222e+02 1.0  4.19000000e+01  4   0.00000000e+00 0.00000000e+00 1.75100000e+01 4.26300000e+01 1.59100000e+01 9.31000000e+00 7.61000000e+00 3.30000000e+00 9.30000000e-01 2.80000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.12572220e+01 -1.52100833e+02 1.0  1.45500000e+02  6   0.00000000e+00 0.00000000e+00 5.81000000e+00 2.26200000e+01 3.14300000e+01 2.22200000e+01 1.04100000e+01 5.51000000e+00 1.50000000e+00 5.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.12855560e+01 -1.52124722e+02 1.0  3.10240000e+01  7   0.00000000e+00 0.00000000e+00 3.54000000e+00 1.44600000e+01 2.30000000e+01 2.11900000e+01 1.57400000e+01 1.22800000e+01 9.78000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.12733330e+01 -1.52085278e+02 1.0  2.14225000e+02  10  0.00000000e+00 0.00000000e+00 2.26000000e+00 1.48100000e+01 2.57300000e+01 2.87400000e+01 1.88200000e+01 9.64000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.13094440e+01 -1.51985833e+02 1.0  1.55250000e+01  12  0.00000000e+00 0.00000000e+00 0.00000000e+00 6.00000000e-01 1.05800000e+01 3.35300000e+01 2.67500000e+01 1.71700000e+01 6.49000000e+00 4.89000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.12708330e+01 -1.51965556e+02 1.0  1.22462000e+02  14  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.77000000e+00 1.21000000e+01 3.28400000e+01 3.81700000e+01 1.51200000e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.12461110e+01 -1.52040000e+02 1.0  7.20500000e+01  15  0.00000000e+00 0.00000000e+00 8.10000000e-01 1.74000000e+01 4.57300000e+01 3.21000000e+01 3.54000000e+00 4.30000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.12716670e+01 -1.51819167e+02 1.0  5.46620000e+01  16  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.90000000e+00 3.16000000e+01 5.88000000e+01 5.90000000e+00 8.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
