INPUT VALUES USED IN Spurr runs
run #     start time, UTC    plume height  duration   volume
        dd-mon-year hh:mm:ss      km          hrs      km3
    1   16-Oct-2024 00:00:00    009.00      003.00    0.0016
    2   16-Oct-2024 00:00:00    011.00      003.00    0.0048
    3   16-Oct-2024 00:00:00    013.00      003.00    0.0113
    4   16-Oct-2024 00:00:00    015.00      003.00    0.0230
    5   16-Oct-2024 00:00:00    017.00      003.00    0.0422
    6   16-Oct-2024 00:00:00    019.00      003.00    0.0716
    7   16-Oct-2024 03:00:00    009.00      003.00    0.0016
    8   16-Oct-2024 03:00:00    011.00      003.00    0.0048
    9   16-Oct-2024 03:00:00    013.00      003.00    0.0113
   10   16-Oct-2024 03:00:00    015.00      003.00    0.0230
   11   16-Oct-2024 03:00:00    017.00      003.00    0.0422
   12   16-Oct-2024 03:00:00    019.00      003.00    0.0716
   13   16-Oct-2024 06:00:00    009.00      003.00    0.0016
   14   16-Oct-2024 06:00:00    011.00      003.00    0.0048
   15   16-Oct-2024 06:00:00    013.00      003.00    0.0113
   16   16-Oct-2024 06:00:00    015.00      003.00    0.0230
   17   16-Oct-2024 06:00:00    017.00      003.00    0.0422
   18   16-Oct-2024 06:00:00    019.00      003.00    0.0716
   19   16-Oct-2024 09:00:00    009.00      003.00    0.0016
   20   16-Oct-2024 09:00:00    011.00      003.00    0.0048
   21   16-Oct-2024 09:00:00    013.00      003.00    0.0113
   22   16-Oct-2024 09:00:00    015.00      003.00    0.0230
   23   16-Oct-2024 09:00:00    017.00      003.00    0.0422
   24   16-Oct-2024 09:00:00    019.00      003.00    0.0716
   25   16-Oct-2024 12:00:00    009.00      003.00    0.0016
   26   16-Oct-2024 12:00:00    011.00      003.00    0.0048
   27   16-Oct-2024 12:00:00    013.00      003.00    0.0113
   28   16-Oct-2024 12:00:00    015.00      003.00    0.0230
   29   16-Oct-2024 12:00:00    017.00      003.00    0.0422
   30   16-Oct-2024 12:00:00    019.00      003.00    0.0716
   31   16-Oct-2024 15:00:00    009.00      003.00    0.0016
   32   16-Oct-2024 15:00:00    011.00      003.00    0.0048
   33   16-Oct-2024 15:00:00    013.00      003.00    0.0113
   34   16-Oct-2024 15:00:00    015.00      003.00    0.0230
   35   16-Oct-2024 15:00:00    017.00      003.00    0.0422
   36   16-Oct-2024 15:00:00    019.00      003.00    0.0716
   37   16-Oct-2024 18:00:00    009.00      003.00    0.0016
   38   16-Oct-2024 18:00:00    011.00      003.00    0.0048
   39   16-Oct-2024 18:00:00    013.00      003.00    0.0113
   40   16-Oct-2024 18:00:00    015.00      003.00    0.0230
   41   16-Oct-2024 18:00:00    017.00      003.00    0.0422
   42   16-Oct-2024 18:00:00    019.00      003.00    0.0716
   43   16-Oct-2024 21:00:00    009.00      003.00    0.0016
   44   16-Oct-2024 21:00:00    011.00      003.00    0.0048
   45   16-Oct-2024 21:00:00    013.00      003.00    0.0113
   46   16-Oct-2024 21:00:00    015.00      003.00    0.0230
   47   16-Oct-2024 21:00:00    017.00      003.00    0.0422
   48   16-Oct-2024 21:00:00    019.00      003.00    0.0716
