NUMBER,NAME,LOCATION,LATITUDE,NS,LONGITUDE,EW,ELEV,ERUPTION TYPE,COMBATANT COMMAND
0100-01-,West Eifel Volc Field,Germany,50.17,N,6.85,E,600,S0,USEUCOM
0100-02-,Chaine des Puys,France,45.775,N,2.97,E,1464,M0,USEUCOM
0100-03-,Olot Volc Field,Spain,42.17,N,2.53,E,893,M0,USEUCOM
0100-04-,Calatrava Volc Field,Spain,38.87,N,4.02,W,1117,M0,USEUCOM
0101-001,Larderello,Italy,43.25,N,10.87,E,500,S0,USEUCOM
0101-003,Vulsini,Italy,42.6,N,11.93,E,800,S0,USEUCOM
0101-004,Alban Hills,Italy,41.73,N,12.7,E,949,S0,USEUCOM
0101-01=,Campi Flegrei,Italy,40.827,N,14.139,E,458,S0,USEUCOM
0101-02=,Vesuvius,Italy,40.821,N,14.426,E,1281,S2,USEUCOM
0101-03=,Ischia,Italy,40.73,N,13.897,E,789,S0,USEUCOM
0101-041,Panarea,Italy,38.63,N,15.07,E,421,S0,USEUCOM
0101-042,Lipari,Italy,38.48,N,14.95,E,602,S0,USEUCOM
0101-04=,Stromboli,Italy,38.789,N,15.213,E,924,M1,USEUCOM
0101-05=,Vulcano,Italy,38.404,N,14.962,E,500,S2,USEUCOM
0101-06=,Etna,Italy,37.734,N,15.004,E,3330,M1,USEUCOM
0101-071,Pantelleria,Italy,36.77,N,12.02,E,836,S0,USEUCOM
0101-07=,Campi Flegrei Mar Sicilia,Italy,37.1,N,12.7,E,-8,M0,USEUCOM
0102-02=,Methana,Greece,37.615,N,23.336,E,760,S0,USEUCOM
0102-03=,Milos,Greece,36.699,N,24.439,E,751,S0,USEUCOM
0102-04=,Santorini,Greece,36.404,N,25.396,E,367,S1,USEUCOM
0102-051,Yali,Greece,36.671,N,27.14,E,180,S0,USEUCOM
0102-05=,Nisyros,Greece,36.586,N,27.16,E,698,S0,USEUCOM
0103-00-,Kula,Turkey,38.58,N,28.52,E,750,M0,USEUCOM
0103-001,Karapinar Field,Turkey,37.67,N,33.65,E,1302,M0,USEUCOM
0103-002,Hasan Dagi,Turkey,38.13,N,34.17,E,3253,S0,USEUCOM
0103-003,Gollu Dag,Turkey,38.25,N,34.57,E,2143,S0,USEUCOM
0103-004,Acigol-Nevsehir,Turkey,38.57,N,34.52,E,1689,S0,USEUCOM
0103-011,Karaca Dag,Turkey,37.67,N,39.83,E,1957,M0,USEUCOM
0103-01=,Erciyes Dagi,Turkey,38.52,N,35.48,E,3916,S0,USEUCOM
0103-021,Suphan Dagi,Turkey,38.92,N,42.82,E,4158,S0,USEUCOM
0103-022,Girekol,Turkey,39.17,N,43.33,E,U,S0,USEUCOM
0103-02=,Nemrut Dagi,Turkey,38.65,N,42.23,E,2948,S0,USEUCOM
